artist,artist_id,followers,genres,popularity
NEIKED,5H6xmHXjsq98NLbEjuE29f,59172,"[u'pop', u'tropical house']",61
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,5785501,"[u'pop', u'pop rap', u'rap']",85
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,7905787,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",86
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,2803945,"[u'colombian pop', u'reggaeton']",82
21 Savage,1URnnhqYAYcrqrcwql10ft,4473220,"[u'pop', u'rap', u'trap music']",84
Adele,4dpARuHxo51G3z768sgnrY,10242803,[u'pop'],80
Zay Hilfigerrr,7nKeLE1toRtW4M279iS26h,54935,[],50
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,6872615,"[u'dance pop', u'latin', u'latin pop', u'mexican pop', u'pop', u'pop quebecois', u'tropical']",78
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,13147544,"[u'permanent wave', u'pop']",84
gnash,3iri9nBFs9e4wN7PLIetAw,813571,"[u'pop', u'post-teen pop']",71
Lil Wayne,55Aa2cqylxrFIXC767Z865,6429901,"[u'hip hop', u'pop', u'pop rap', u'rap', u'trap music']",85
Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,233763,"[u'dance pop', u'edm', u'pop', u'tropical house']",70
Rob $tone,2hWs22BmQkK4czFtDLnar2,121327,[u'underground hip hop'],63
MC G15,3Nipsl6GVwwGyeAk0J29C6,2441645,"[u'brazilian electronica', u'deep funk carioca']",62
Mike Perry,6lB8vOoI4DRrrVxXwuV19c,282993,"[u'dance pop', u'deep pop edm', u'deep tropical house', u'edm', u'pop', u'tropical house']",70
Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,684799,[u'neo soul'],69
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,966559,[u'danish pop'],69
Kungs,7keGfmQR4X5w0two1xKZ7d,377220,"[u'deep house', u'deep tropical house', u'edm', u'pop', u'tropical house']",67
Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,566123,"[u'rap', u'trap music']",59
Cashmere Cat,2LZDXcxJWgsJfKXZv9a5eG,248073,"[u'dance pop', u'downtempo', u'electropop', u'indie r&b', u'pop', u'post-teen pop', u'shiver pop']",66
Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,298651,"[u'dance pop', u'electropop', u'pop', u'post-teen pop']",73
Luke Christopher,787bCXOIvGeBw0Bc4kEjhD,99129,"[u'indie pop rap', u'pop rap']",58
Chance The Rapper,1anyVhU62p31KFi8MEzkbf,3344351,"[u'hip hop', u'pop', u'pop rap', u'rap']",77
Little Mix,3e7awlrlDSwF3iM0WBjGMp,4209411,"[u'dance pop', u'girl group', u'pop', u'post-teen pop', u'r&b', u'talent show']",77
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,8703953,"[u'reggaeton', u'trap latino']",91
G-Eazy,02kJSzxNuaWGqwubyUba0Z,3174027,"[u'hip hop', u'indie pop rap', u'pop', u'pop rap', u'rap']",84
FRENSHIP,7xEFii6utZmQ61kX59HmLH,78773,"[u'deep tropical house', u'electropop', u'indie poptimism', u'pop', u'tropical house']",63
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,5737666,"[u'dance pop', u'pop']",84
IAmChino,0b2GL7Y02vu50qieoQmw1w,19466,[],58
Maluma,1r4hJ1h58CWwUQe3MxPuau,10793631,[u'reggaeton'],87
Chino & Nacho,5NS0854TqZQVoRmJKSWtFZ,1097747,"[u'electro latino', u'latin', u'latin hip hop', u'latin pop', u'pop', u'pop reggaeton', u'reggaeton', u'tropical']",63
Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,366327,[u'tropical house'],67
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,712231,"[u'dance pop', u'edm', u'indie poptimism', u'pop', u'post-teen pop', u'tropical house']",78
MØ,0bdfiayQAKewqEvaU6rXCv,792420,"[u'danish pop', u'electropop', u'pop', u'tropical house']",75
Jon Bellion,50JJSqHUf2RQ9xsHs0KMHg,675632,"[u'pop', u'pop rap']",70
Andy Grammer,2oX42qP5ineK3hrhBECLmj,495653,"[u'dance pop', u'neo mellow', u'pop', u'pop rock', u'post-teen pop', u'viral pop']",68
Wisin,3E6xrwgnVfYCrCs0ePERDz,3245024,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",83
Queen,1dfeR4HaWDbWqFHLkxsg1d,8317106,"[u'glam rock', u'rock']",81
Young Thug,50co4Is1HCEo8bhOyUWKpn,3056799,"[u'gangster rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",82
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,4465808,"[u'pop', u'rap', u'trap music']",85
Vice,0q4NrXqJnc367PieejuROJ,10901,[u'chicano rap'],54
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,28191839,[u'pop'],90
Foster The People,7gP3bB2nilZXLfPHJhMdvc,2237935,"[u'indie pop', u'indietronica', u'la indie', u'modern alternative rock', u'modern rock']",74
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,3391174,"[u'hip hop', u'pop rap', u'rap']",81
Galantis,4sTQVOfp9vEMCemLw50sbu,2051917,"[u'big room', u'dance pop', u'edm', u'pop', u'tropical house']",73
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,2426936,"[u'dance pop', u'pop', u'pop rap']",79
