track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
5TmZYdHW6HJ9gt7Aokuql5,0.745,0.15,180.081,0.146,0.0474,1.71e-06,0.746,9,203853.0,-3.311,1,0.828
4YkwUfWSIxdKNLDXw0caFO,0.696,0.231,144.981,0.182,0.119,0.0,0.82,7,292910.0,-4.918,0,0.617
5u6vkDnOyaf8LsteDAj2ub,0.436,0.342,82.994,0.155,0.331,1.3e-05,0.782,2,268933.0,-7.033,1,0.243
5PIB8aoUJoCRh1O5TEGdOj,0.717,0.355,115.384,0.0335,0.0125,0.0536,0.779,6,240800.0,-9.7,0,0.789
7sO5G9EABYOXQKNPNiE9NR,0.428,0.114,100.007,0.206,0.149,5.07e-05,0.88,9,172800.0,-8.28,1,0.333
0tdCy39PgWN8LFWu34ORn3,0.399,0.102,143.049,0.309,0.00525,0.74,0.845,1,257600.0,-7.509,1,0.148
3ojTJaonfkL96iIWa47SU3,0.598,0.1,105.803,0.0561,0.00543,0.0,0.614,10,129478.0,-6.335,0,0.565
2D2w9943rsnJOGCrI4aMQp,0.274,0.183,77.493,0.484,0.0974,0.185,0.862,0,148640.0,-5.818,0,0.146
7LAhKXDNWwq3CmnFP3UIOP,0.405,0.158,157.09,0.0852,0.442,0.211,0.739,0,147987.0,-10.897,1,0.127
3oxCefEI6Tc6Z6t20J4IvH,0.381,0.135,158.021,0.464,0.354,3.12e-06,0.799,1,160320.0,-7.147,1,0.0488
6HR1z11h0ROUlWP4Kx8Z7G,0.365,0.179,135.003,0.235,0.147,0.185,0.9,10,202667.0,-6.395,0,0.136
2zYzyRzz6pRmhPzyfMEC8s,0.913,0.156,115.715,0.132,0.0591,0.00173,0.573,6,208400.0,-4.793,0,0.422
0xxZY5C9xxij3D1HkzbnfC,0.488,0.43,69.77,0.357,0.407,0.0,0.688,11,192040.0,-14.195,0,0.707
7vbjH8laThXpcBXeLNPm3M,0.364,0.195,153.028,0.121,0.141,0.311,0.825,2,189800.0,-7.635,0,0.177
6A4Jc8npNo79BOgsrPptLA,0.712,0.132,124.091,0.0324,0.0409,8.08e-05,0.767,1,237760.0,-4.128,0,0.804
7vg47qMIEdLfNdTE3WLf0T,0.284,0.121,150.98,0.392,0.557,0.0175,0.724,7,228893.0,-10.494,1,0.144
6m6Oy3F6GG0zRwH03rWmTv,0.544,0.112,115.951,0.0727,0.413,9.54e-05,0.926,5,231787.0,-6.827,1,0.656
5QTxFnGygVM4jFQiBovmRo,0.927,0.297,141.47,0.0733,0.0029,0.000211,0.333,9,308120.0,-8.55,0,0.382
63y2aL2dT6zzw8FOSLaNrp,0.448,0.155,83.804,0.0359,0.779,0.0,0.669,11,196187.0,-15.442,0,0.645
5gx2E5aIXMRBellPZW1up5,0.696,0.232,144.981,0.182,0.119,0.0,0.82,7,293435.0,-4.918,0,0.617
5SDCeGVT08a1RMXIBJF2O5,0.601,0.122,110.001,0.071,0.0982,4.12e-06,0.799,8,199853.0,-5.254,1,0.45
6V1XbtfGGmfEkyBtTlapw1,0.565,0.102,115.043,0.0687,0.478,8.12e-06,0.934,11,193600.0,-4.844,1,0.53
6tUgfsOa8PLkoede5nOR7D,0.73,0.101,95.044,0.088,0.00194,8.51e-05,0.919,1,219880.0,-6.581,1,0.189
7y4JznkAv2W3IKw9T1o2VK,0.743,0.368,106.919,0.0322,0.0473,8.81e-06,0.717,0,230880.0,-4.337,1,0.321
1mXVgsBdtIVeCLJnSnmtdV,0.375,0.173,91.92,0.0491,0.652,0.0,0.698,5,201000.0,-8.279,1,0.534
04JL2liXXV9B9coeGuUsPw,0.606,0.0863,110.007,0.0657,0.0767,2.99e-06,0.796,5,199849.0,-5.254,0,0.42
0tDfp0vFR95Gg6Mrhza3lX,0.508,0.329,163.957,0.105,0.193,0.000177,0.599,9,203507.0,-9.894,1,0.269
7DsX5K72fewVGb47qj7Tbg,0.377,0.0864,172.618,0.0484,0.317,1.96e-06,0.386,4,221596.0,-9.372,0,0.168
7eFmN6wnsb7WowRKAqRFfs,0.608,0.105,126.12,0.0587,0.0835,0.0,0.648,8,190643.0,-5.16,1,0.488
01uk7IzZyFNfQTDBXxx6NB,0.523,0.334,103.481,0.0281,0.4,0.0,0.667,1,192922.0,-6.439,1,0.434
2mb6YdoavL6db22p7XKJQZ,0.218,0.289,86.82,0.0396,0.883,0.0,0.66,6,203290.0,-9.329,1,0.377
4K1vOdIFqskQv3zoI0FdAk,0.404,0.114,119.726,0.105,0.757,0.000176,0.549,0,247555.0,-10.214,1,0.148
0tPQPaOKM32WgMSbPCYyRH,0.873,0.0824,79.943,0.119,0.0789,0.0,0.721,1,172687.0,-4.741,1,0.552
5qOWH742APK9OAIhQBflvV,0.301,0.137,126.267,0.0473,0.614,0.0,0.511,10,226731.0,-8.608,1,0.213
1Bxzw8ag71snOU9IbhXVD6,0.673,0.208,121.87,0.0348,0.399,1.21e-06,0.499,0,263400.0,-4.505,1,0.301
1A85fOmviQuGgkF6Lww6Nd,0.615,0.185,95.967,0.0723,0.336,3.96e-05,0.722,4,207164.0,-7.098,1,0.392
1p1SbqeipOd4ezKUpxqaz6,0.657,0.16,169.865,0.101,0.00549,3.05e-05,0.512,10,207966.0,-7.714,1,0.482
3AFPGvRzeKeNJbIbLwcz4G,0.261,0.32,84.633,0.0309,0.577,3.48e-05,0.574,5,190087.0,-11.013,0,0.305
