track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
6MJUCumnQsQEKbCy28tbCP,0.771,0.172,99.038,0.0563,0.291,5.62e-05,0.788,4,207853.0,-3.206,0,0.701
14mHfNsSHN0FbLftyjrV9g,0.743,0.183,150.024,0.0851,0.107,0.0,0.792,7,195637.0,-2.806,1,0.742
2t8yVaLvJ0RenpXUIAC52d,0.636,0.342,145.972,0.086,0.0395,0.00125,0.837,1,288624.0,-7.643,1,0.274
2G1tXoGBaEMJ7FKGnkf6ud,0.578,0.367,143.01,0.0485,0.00381,0.0,0.8,4,203161.0,-5.144,0,0.367
0JP9xo3adEtGSdUEISiszL,0.537,0.102,128.009,0.0804,0.556,0.00404,0.921,9,135090.0,-5.723,0,0.711
1LiN0Z98FkR1t0m8KmLcAH,0.631,0.158,94.039,0.0425,0.437,0.0,0.79,8,190005.0,-5.549,0,0.889
0e7ipj03S05BNilyu5bRzt,0.535,0.131,159.847,0.0898,0.117,6.56e-05,0.587,5,218147.0,-6.09,0,0.14
2LskIZrCeLxRvCiGP8gxlh,0.723,0.126,104.969,0.0412,0.0302,2.06e-06,0.703,9,198903.0,-5.45,0,0.288
0E9ZjEAyAwOXZ7wJC0PD33,0.77,0.118,125.905,0.149,0.176,1.1e-05,0.694,6,184560.0,-5.335,1,0.163
5N5k9nd479b1xpDZ4usjrg,0.768,0.325,123.07,0.0394,0.0119,4.91e-06,0.781,11,213309.0,-5.991,1,0.486
5w9c2J52mkdntKOmRLeM2m,0.86,0.0574,93.989,0.0593,0.11,1.94e-06,0.737,8,193227.0,-2.652,0,0.656
5IaHrVsrferBYDm0bDyABy,0.559,0.101,97.994,0.12,0.0236,0.0,0.884,0,232959.0,-7.442,1,0.342
25F6MWrnFBCXVnpN4n76EK,0.888,0.134,170.193,0.235,0.0591,0.0,0.71,2,225987.0,-6.457,1,0.816
278kSqsZIiYp8p3QjYAqa8,0.449,0.273,128.028,0.0674,0.556,1.85e-05,0.826,5,236216.0,-8.33,0,0.337
2iUXsYOEPhVqEBwsqP70rE,0.854,0.124,120.274,0.463,0.0169,0.0,0.596,7,203418.0,-5.114,0,0.152
2qxmye6gAegTMjLKEBoR3d,0.557,0.124,150.073,0.0318,0.74,0.0,0.652,1,169354.0,-5.714,0,0.483
3ao3OVxHlb3C08vAaApUlm,0.764,0.102,90.979,0.0798,0.122,0.0,0.786,11,163880.0,-2.935,1,0.913
